Lyrics
thiruvaavaniraavu manasaake nilavu malaala chundil malarona paattu thiruvaavaniravu
manasaake nilavu malaala chundil malarona paattu mavin komberunoru
poovali kuile maveli thambrante varavaaal chollu thiruvaavaniravu manasake
nilavu malaala chundil malarona paattu thiruvaavaniravu manasaake nilavu
malaala chundil malarona paattu poove poli poove poove
kadakannil mashi minnum murapennin kavalathu kurumbinte kulirumma sammanam
pukooda niraikkuvaan pularmanjin kadavathu punnara kaatinta sanjaaram ilaittu
vilambunna ruchikalil vidarunnu niravaar ooninte santhosham poonkodi kasavittu
oonjalil aadumbol nilavoramunarunnu sangeetham sangeetham poove poli poove
poli poove poove poove poli poove poove thiruvaavaniraavu
manasaake nilavu malaala chundil malarona paattu mavin komberunoru
poovali kuile maveli thambrante varavaaal chollu thiruvaavaniraavu manasaake
nilavu malaala chundil malarona paattu
sariga riga riga risadha sariga sariga risapagare garisa
pagare dhapaga sadhapaagari garisadhasa sariga riga sariga rigapa
dhapadha padhasa rigarisa dhasadhapagari garisadhaasaa sada palaa sara
saakshi sadaa paalaa sara saakshi sadaa paalaa sara
saakshi samaana rahithaa samaana rahithaa mohanamgi sadaa paalaa
sara saakshi samaana rahithaa samaana rahithaa mohanamgi sada
paalaa sara saakshi samaana rahithaa mohanamgi sada paalaa
aaaaaa aaaa aaaa aaaaa sudhaa madhuraa vaag vilaasini
aaaaa aaaa aaaaa sudhaa madhuraa vaag vilaasini sujalaaga
mochanee suhasini sada paalaa sara saakshi samaana rahithaa
mohanamgi sada paalaa aaa aaaaa aaaaaa aaaaa
ennuire penkilie ennakame thenn mahae nee enna vaakkin
ullil pranaamaai nee enna vaakkin ullil pulariaai nee
oralilen hridaamitha neela meghamaai alaukaaai manjin kai viralaal
kavilatho nee thahuki chandham koodi varum mahavillai maariival
oru naru thaamaraaai ithalaniana paathi mugham oru mohiaalimanam
kanavehuthia neer nadhiaai nee engaanengo kannin kanne thedi
njaan ennuire penkilie ennakame thenn mahae nee enna
